Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-06-04;Guía de remisión - R;60.0;Almacen Central;0.0;3.0;86153.0;0.0;0.0;3.0;86145.25;0.999895;NEVADO CONSTRUCTORA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-06-14;Guía de remisión - R;57.0;Almacen Central;0.0;1500.0;84656.0;0.0;0.0;1499.84;84648.41;0.999895;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-06-15;Guía de remisión - R;61.0;Almacen Central;0.0;1500.0;84656.0;0.0;0.0;1499.84;84648.41;0.999895;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-06-18;Guía de remisión - R;63.0;Almacen Central;0.0;2500.0;83656.0;0.0;0.0;2499.74;83648.51;0.999895;ARCHENGINE CONSULTORA S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-06-23;Guía de remisión - R;64.0;Almacen Central;0.0;2000.0;84156.0;0.0;0.0;1999.79;84148.46;0.999895;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-02;Guía de remisión - R;68.0;Almacen Central;0.0;3000.0;83156.0;0.0;0.0;2999.68;83148.57;0.999895;SETECOM AIR;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-03;Guía de remisión - R;225.0;Almacen Central;0.0;1600.0;84556.0;0.0;0.0;1599.83;84548.42;0.999895;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-05;Guía de remisión - R;69.0;Almacen Central;0.0;1000.0;83556.0;0.0;0.0;999.9;83548.52;0.999895;H&R ELECTRICAL ENGINEERS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-06;Guía de remisión - R;98.0;Almacen Central;0.0;3000.0;81556.0;0.0;0.0;2999.68;81548.74;0.999895;ELCONSI;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-08;Guía de remisión - R;229.0;Almacen Central;0.0;250.0;84306.0;0.0;0.0;249.97;84298.45;0.999895;DRAGON;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-09;Guía de remisión - R;71.0;Almacen Central;0.0;1500.0;82806.0;0.0;0.0;1499.84;82798.61;0.999895;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-13;Guía de remisión - R;73.0;Almacen Central;0.0;500.0;83806.0;0.0;0.0;499.95;83798.5;0.999895;NEVADO CONSTRUCTORA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-19;Guía de remisión - R;94.0;Almacen Central;0.0;2000.0;82306.0;0.0;0.0;1999.79;82298.66;0.999895;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-20;Guía de remisión - R;80.0;Almacen Central;0.0;800.0;83506.0;0.0;0.0;799.92;83498.53;0.999895;ELCONSI;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-24;Guía de remisión - R;82.0;Almacen Central;0.0;2500.0;81806.0;0.0;0.0;2499.74;81798.71;0.999895;NEVADO CONSTRUCTORA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-26;Guía de remisión - R;84.0;Almacen Central;0.0;4000.0;80306.0;0.0;0.0;3999.58;80298.87;0.999895;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-07-27;Guía de remisión - R;103.0;Almacen Central;0.0;1500.0;82806.0;0.0;0.0;1499.84;82798.61;0.999895;NEVADO CONSTRUCTORA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-10;Guía de remisión - R;95.0;Almacen Central;0.0;500.0;83806.0;0.0;0.0;499.95;83798.5;0.999895;DRAGON;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-12;Guía de remisión - R;97.0;Almacen Central;0.0;1268.0;83038.0;0.0;0.0;1267.87;83030.58;0.999895;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-17;Guía de remisión - R;105.0;Almacen Central;0.0;500.0;83806.0;0.0;0.0;499.95;83798.5;0.999895;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-18;Guía de remisión - R;106.0;Almacen Central;0.0;500.0;84975.0;0.0;0.0;499.95;84967.5;0.999896;NEVADO CONSTRUCTORA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-18;Guía de remisión - R;250.0;Almacen Central;0.0;700.0;84775.0;0.0;0.0;699.93;84767.52;0.999896;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-19;Guía de remisión - R;252.0;Almacen Central;0.0;100.0;84675.0;0.0;0.0;99.99;84667.53;0.999896;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-23;Guía de remisión - R;109.0;Almacen Central;0.0;2000.0;82675.0;0.0;0.0;1999.79;82667.74;0.999896;PROCISA INGENIEROS S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-25;Guía de remisión - R;111.0;Almacen Central;0.0;500.0;84175.0;0.0;0.0;499.95;84167.58;0.999896;ELCONSI;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-08-27;Guía de remisión - R;263.0;Almacen Central;0.0;553.0;84122.0;0.0;0.0;552.94;84114.59;0.999896;JEF;Presencial;Sector A
