Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
CPE-00395;232.0;"CAJA DE PASE 500X300X100MM HCO 1"" (F.G. 0.90)";13.647058823529411;17.0
CPE-00186;17.0;CAJA DE PASE 400X400X200MM CIEGA (F. G. 0.75);1.0;17.0
ER-00001;158.0;ESPARRAGO ROSCADO 3/8” X 1.80 MTS;9.294117647058824;17.0
GA-00004;98.0;GABINETE ADOSABLE 200X200X150MM CIEGA (F. G. 1.50);5.764705882352941;17.0
CPE-00221;42.0;CAJA DE PASE 450X450X200MM CIEGA (F. G. 1.50);2.4705882352941178;17.0
CPE-00715;46.0;CAJA PASE 100X50X40MM CIEGA (F.G. 1.20);2.7058823529411766;17.0
GA-00002;192.0;GABINETE ADOSABLE 200X200X150MM CIEGA (F.G. 1.20);11.294117647058824;17.0
CP-00105;55.0;CAJA DE PASE 80X80X50MM CIEGA (F. G. 1.20);3.25;16.923076923076923
CPE-00371;243.0;CAJA DE PASE 200X200X100MM 3/4 (F.G.1.50);14.37037037037037;16.90979381443299
ABZ-00006;287.0;ABRAZADERA FG 2 OREJAS 25MM  1”;17.041666666666668;16.841075794621027
CP-00029;132.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 0.60);7.857142857142857;16.8
CPE-00072;1474.0;CAJA DE PASE 250X250X100MM (F. G. 0.75).;87.75847457627118;16.796098691516587
CEO-018;2246.0;CAJA OCTOG 100X50MM BC 1/2 (F.G 1.50);133.82608695652175;16.782975958414553
CPE-00069;88.0;CAJA DE PASE 200X200X150MM CIEGA (F.G. 1.50);5.285714285714286;16.64864864864865
CPE-00071;126.0;CAJA DE PASE 200X200X150MM (F.G. 1.50);7.588235294117647;16.6046511627907
CPE-00050;161.0;CAJA DE PASE 150X150X100MM  HCO ESP (F. G. 1.20);9.764705882352942;16.487951807228914
CP-00038;894.0;CAJA DE PASE 200X200X100MM (F. G. 1.20).;54.78151260504202;16.319374137137597
COC-00020;70.0;"CONECTOR EMT 65MM/ 2 1/2"" -UL	";4.35;16.091954022988507
TPC-00004;6711.0;TAPA CIEGA OCTOG. (F.G. 1.20).;421.7945205479452;15.910590757039396
SCHU-0005;1140.0;CAJA SCHUKO 131X71X52MM   CIEGA(F. G. 1.50).;71.76470588235294;15.885245901639344
CPE-00017;1390.0;CAJA DE PASE 100X100X75MM  3/4 (F. G. 1.50);88.25;15.75070821529745
ABZ-00013;506.0;"ABRAZADERA UNISTRUT 4"" EMT - RIGID";32.21052631578947;15.709150326797387
'45;238.0;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);15.263157894736842;15.593103448275862
CPE-00077;599.0;CAJA DE PASE 250X250X100MM CIEGA (F. G. 0.75).;38.577235772357724;15.527291886195995
