Código;Num_Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Descripción;Acumulado_pct
CP-00015;3;182.0;60.666666666666664;77.46827307571361;12.0;150.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 0.90);99.36538937740626
CPE-00020;2;181.0;90.5;126.572113832392;1.0;180.0;CAJA DE PASE 100X100X75MM CIEGA (F.G. 1.20).;99.369532102953
CPE-00599;10;181.0;18.1;13.278637815010326;3.0;48.0;CAJA DE PASE 100X100X75MM CIEGA (F. G. 0.75);99.37367482849974
CPE-000683;2;180.0;90.0;14.142135623730951;80.0;100.0;CAJA DE PASE 150X150X50MM CIEGA (F.G. 0.90);99.37779466606004
ABZ-00023;5;180.0;36.0;39.15992849840255;2.0;100.0;"ABRAZADERA CADDY 3/4"" EMT";99.38191450362035
ABZ-00028;3;180.0;60.0;34.64101615137755;40.0;100.0;"ABRAZADERA CADDY 1 1/4"" EMT - RIGID";99.38603434118065
CPE-00087;25;172.0;6.88;6.616393781106643;1.0;33.0;CAJA DE PASE 250X250X150MM CIEGA (F.G. 1.20).;99.38997107484937
CP-00025;7;169.0;24.142857142857142;38.41626639601412;1.0;109.0;CAJA DE PASE 150X150X100MM (F. G. 0.90);99.39383914455877
CPE-00308;1;169.0;169.0;;169.0;169.0;CAJA DE PASE 120X80X75MM (F.G. 1.20);99.39770721426815
CP-00057;1;169.0;169.0;;169.0;169.0;CAJA DE PASE 350X120X75MM (F.G. 1.20);99.40157528397755
CPE-00280;2;165.0;82.5;95.45941546018392;15.0;150.0;CAJA DE PASE 150X150X70MM CIEGA (F.G. 1.50);99.40535180174115
CPE-01040;13;163.0;12.538461538461538;8.150821887141042;2.0;30.0;CAJA DE PASE 150X150X100MM (F. G. 0.80);99.40908254353187
'35;46;162.0;3.5217391304347827;6.170680244996522;1.0;41.0;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);99.41279039733614
CPE-00050;6;161.0;26.833333333333332;19.39501654205705;1.0;50.0;CAJA DE PASE 150X150X100MM  HCO ESP (F. G. 1.20);99.41647536315396
ER-00001;6;158.0;26.333333333333332;32.15379708007542;1.0;80.0;ESPARRAGO ROSCADO 3/8” X 1.80 MTS;99.42009166501244
CPE-00101;13;154.0;11.846153846153847;20.247823561419114;1.0;75.0;CAJA DE PASE 300X300X150MM CIEGA (F.G. 1.50);99.42361641492514
CPE-00353;3;151.0;50.333333333333336;49.50084174368485;1.0;100.0;CAJA DE PASE 100X100X40MM 3/4 (F. G. 1.20).;99.42707250087851
