Código;Stock_Min;Stock_Promedio;Stock_Max;Stock_Std;Num_Registros;Bodega_Principal
CPE-00972;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00244;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00966;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00694;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00431;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
BANE-00031;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-01104;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-01002;0.0;1.6923076923076923;10.0;3.0655237558100734;13;Sin asignar
'27;0.0;1.6666666666666667;2.0;0.816496580927726;6;Sin asignar
CPE-00476;0.0;1.6666666666666667;5.0;2.8867513459481287;3;Almacen Central
CR-00018;0.0;1.625;5.0;2.326094212561969;8;Sin asignar
'71;0.0;1.6;4.0;1.6733200530681511;5;Almacen Central
CPE-00378;0.0;1.6;7.0;2.5014281634983764;15;Almacen Central
'56;0.0;1.5999999999999999;4.8;2.7712812921102037;3;Almacen Central
'57;0.0;1.5999999999999999;4.8;2.7712812921102037;3;Almacen Central
GA-00033;0.0;1.5714285714285714;11.0;4.157609203101499;7;Sin asignar
CPE-00925;0.0;1.5714285714285714;11.0;4.1576092031015;7;Sin asignar
CPE-00981;0.0;1.5714285714285714;11.0;4.1576092031015;7;Sin asignar
CTV-00001;0.0;1.5714285714285714;11.0;4.1576092031015;7;Sin asignar
GA-00032;0.0;1.5714285714285714;11.0;4.157609203101499;7;Sin asignar
CPE-00249;0.0;1.5714285714285714;11.0;4.157609203101499;7;Sin asignar
CTF-00010;0.0;1.5714285714285714;11.0;4.1576092031015;7;Sin asignar
CPE-00163;0.0;1.5555555555555556;7.0;3.0867098629086893;9;Sin asignar
CP-00088;0.0;1.5454545454545454;15.0;4.4802597327306;11;Sin asignar
CPE-00585;0.0;1.5333333333333334;6.0;2.503331114069145;15;Almacen Punto de Ventas 1
CPE-00273;0.0;1.5333333333333334;7.0;2.5597618936887376;15;Almacen Central
CR-00083;0.0;1.5333333333333334;8.0;2.386469797679848;15;Almacen Punto de Ventas 1
TV - 00009;0.0;1.5;8.0;2.9760952365713798;8;Sin asignar
CPE-01101;0.0;1.5;6.0;2.7774602993176543;8;Sin asignar
TECCD-00001;0.0;1.4444444444444444;12.0;3.972125095937662;9;Sin asignar
BANR-00010;0.0;1.4444444444444444;8.0;2.96273147243853;9;Sin asignar
CPE-00447;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00984;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00141;0.0;1.4285714285714286;10.0;3.7796447300922718;7;Sin asignar
HJC-00007;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
ABZ-00030;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
PRS-00001;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00274;0.0;1.4285714285714286;10.0;3.7796447300922718;7;Sin asignar
CPE-00468;0.0;1.4285714285714286;10.0;3.7796447300922718;7;Sin asignar
CCL-00006;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00494;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00646;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00048;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPTF-00010;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00490;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
COC-00029;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00486;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00982;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-01106;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
SPBJ-00001;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
SOP-00004;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00943;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
'59;0.0;1.4285714285714286;10.0;3.7796447300922718;7;Sin asignar
CPE-00618;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
BANR-00103;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPBC-00005;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00891;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TV - 00014;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00846;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CTF-E-00013;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00845;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPTF-00009;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPBC-00007;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPBC-00006;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-01097;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPBC-00004;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
'38;0.0;1.4285714285714286;10.0;3.7796447300922718;7;Sin asignar
CPE-00900;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00615;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
TPM-00008;0.0;1.4285714285714286;10.0;3.779644730092272;7;Sin asignar
CPE-00257;0.0;1.4;6.0;2.503331114069145;10;Sin asignar
'81;0.0;1.393939393939394;10.0;2.290461115411506;33;Almacen Central
BANE-00019;0.0;1.3714285714285714;9.6;3.6284589408885815;7;Sin asignar
CPE-00172;0.0;1.3333333333333333;6.0;2.6457513110645907;9;Sin asignar
CPE-00330;0.0;1.3333333333333333;8.0;2.5495097567963922;9;Sin asignar
CP-00066;0.0;1.3333333333333333;6.0;2.179449471770337;9;Sin asignar
CTF-E-00003;0.0;1.3333333333333333;6.0;2.6457513110645907;9;Sin asignar
CPEH-00037;0.0;1.3333333333333333;2.0;1.0327955589886444;6;Sin asignar
'78;0.0;1.3333333333333333;4.0;2.3094010767585034;3;Almacen Central
CPE-00457;0.0;1.3333333333333333;10.0;3.3166247903553994;9;Sin asignar
CPE-00169;0.0;1.3076923076923077;8.0;2.2870874995874626;13;Almacen Central
CPE-00272;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
CPE-01029;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
CPE-00619;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
SOP-00003;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
CPE-00596;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
TV - 00005;0.0;1.2857142857142858;9.0;3.401680257083045;7;Sin asignar
CJBAME-00071;0.0;1.2727272727272727;6.0;2.412090756622109;11;Almacen Central
CR-00019;0.0;1.25;4.0;1.8322507626258084;8;Sin asignar
CPE-00540;0.0;1.25;10.0;2.8324419275118906;12;Almacen Central
CPE-00329;0.0;1.25;3.0;1.3887301496588271;8;Sin asignar
CPE-00620;0.0;1.2222222222222223;10.0;3.308238873546535;9;Sin asignar
CTF-E-00007;0.0;1.2222222222222223;9.0;2.9907264074877267;9;Sin asignar
CPE-00384;0.0;1.2222222222222223;9.0;2.9907264074877267;9;Sin asignar
CP-00101;0.0;1.2222222222222223;6.0;2.438123139721299;9;Sin asignar
CPE-00113;0.0;1.2105263157894737;10.0;2.507299285606395;19;Almacen Central
CPE-00223;0.0;1.2;8.0;2.3360528369758375;15;Almacen Central
CCL-00009;0.0;1.1538461538461537;6.0;2.115268062057141;13;Almacen Punto de Ventas 1
CPE-00588;0.0;1.1428571428571428;8.0;3.023715784073818;7;Sin asignar
CPE-00429;0.0;1.1428571428571428;8.0;3.023715784073818;7;Sin asignar
TER-00005;0.0;1.1428571428571428;8.0;3.023715784073818;7;Sin asignar
GECI-00004;0.0;1.1428571428571428;8.0;3.023715784073818;7;Sin asignar
